blockA,blockB,blockC,blockD
s1,o1,u1,r1
r2,s2,o2,u2
u3,r3,s3,o3
o4,u4,r4,s4
s5,o5,u5,r5
r6,s6,o6,u6
u7,r7,s7,o7
o8,u8,r8,s8
s9,o9,u9,r9
r10,s10,o10,u10
u11,r11,s11,o11
o12,u12,r12,s12
s13,o13,u13,r13
r14,s14,o14,u14
u15,r15,s15,o15
o16,u16,r16,s16
s17,o17,u17,r17
r18,s18,o18,u18
u19,r19,s19,o19
o20,u20,r20,s20
s21,o21,u21,r21
r22,s22,o22,u22
u23,r23,s23,o23
o24,u24,r24,s24
s25,o25,u25,r25
r26,s26,o26,u26
u27,r27,s27,o27
o28,u28,r28,s28
s29,o29,u29,r29
r30,s30,o30,u30
u31,r31,s31,o31
o32,u32,r32,s32
s33,o33,u33,r33
r34,s34,o34,u34